Project,Location,Grid,Waypoint,Site,Frame,Time,Period,Ptime,OpCode,Reader,Family,Genus,Species,Species_sp,Full_name,Common_name,Code,MaxN,Has_fed,Frame_in,Frame_out,Start,End,Duration,Movie,Lat,Lon
NERP 2012,Oceanic Shoals,1,WP1,1,25661,17.1073,3H,15.24,WP1,Lloyd,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,1,No,1765,71097,1.18,47.4,46.22,47.4,-12.149789,127.454383
NERP 2012,Oceanic Shoals,1,WP2,2,258244,172.1627,3H,167.4953,WP2,Lloyd,Carangidae,,sp1,sp,Carangidae sp,Jacks and trevallies,,1,No,4539,303387,3.03,202.26,199.23,202.25,-12.147897,127.430234
NERP 2012,Oceanic Shoals,1,WP2,2,240397,160.2647,3H,155.5973,WP2,Lloyd,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,7,No,4539,303387,3.03,202.26,199.23,202.25,-12.147897,127.430234
NERP 2012,Oceanic Shoals,1,WP2,2,213687,142.458,3H,137.7907,WP2,Lloyd,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,2,No,4539,303387,3.03,202.26,199.23,202.25,-12.147897,127.430234
NERP 2012,Oceanic Shoals,1,WP3,3,105912,70.608,3H,68.9407,WP3,Lloyd,Monacanthidae,Aluterus,monoceros,,Aluterus monoceros,Unicorn leatherjacket,37465022,2,No,1133,303642,0.76,202.43,201.67,202.43,-12.155176,127.415542
NERP 2012,Oceanic Shoals,1,WP4,4,227127,151.418,3H,148.4173,WP4,Lloyd,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,61,No,3631,306102,2.42,204.07,201.65,204.07,-12.161122,127.40149
NERP 2012,Oceanic Shoals,1,WP4,4,220935,147.29,3H,144.2893,WP4,Lloyd,Carangidae,Seriolina,nigrofasciata,,Seriolina nigrofasciata,Blackbanded trevally,37337014,1,No,3631,306102,2.42,204.07,201.65,204.07,-12.161122,127.40149
NERP 2012,Oceanic Shoals,1,WP5,5,246886,164.5907,3H,160.5307,WP5,Lloyd,Carangidae,Decapterus,sp1,sp,Decapterus sp,Scads,,6,No,2224,298427,1.48,198.95,197.47,198.95,-12.162535,127.388566
NERP 2012,Oceanic Shoals,1,WP5,5,248049,165.366,3H,161.306,WP5,Lloyd,Carcharhinidae,Carcharhinus,limbatus/sorrah/amblyrhynchoides,,Carcharhinus limbatus/sorrah/amblyrhynchoides,Blacktip/spottail/graceful complex,37018039,1,No,2224,298427,1.48,198.95,197.47,198.95,-12.162535,127.388566
NERP 2012,Oceanic Shoals,1,WP5,5,190522,127.0147,3H,122.9547,WP5,Lloyd,Scombridae,Acanthocybium,solandri,,Acanthocybium solandri,Wahoo,37441024,1,No,2224,298427,1.48,198.95,197.47,198.95,-12.162535,127.388566
